cve,snyk link,scantist link,Completed,Unsure flag,Comment
CVE-2020-15522,https://security.snyk.io/search?type=any&q=CVE-2020-15522,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-15522,TRUE,FALSE,
CVE-2020-15250,https://security.snyk.io/search?type=any&q=CVE-2020-15250,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-15250,TRUE,FALSE,
CVE-2020-15170,https://security.snyk.io/search?type=any&q=CVE-2020-15170,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-15170,TRUE,FALSE,
CVE-2020-14340,https://security.snyk.io/search?type=any&q=CVE-2020-14340,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-14340,TRUE,FALSE,
CVE-2020-14195,https://security.snyk.io/search?type=any&q=CVE-2020-14195,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-14195,TRUE,FALSE,
CVE-2020-14062,https://security.snyk.io/search?type=any&q=CVE-2020-14062,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-14062,TRUE,FALSE,
CVE-2020-14061,https://security.snyk.io/search?type=any&q=CVE-2020-14061,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-14061,TRUE,FALSE,
CVE-2020-14060,https://security.snyk.io/search?type=any&q=CVE-2020-14060,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-14060,TRUE,FALSE,
CVE-2020-13959,https://security.snyk.io/search?type=any&q=CVE-2020-13959,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-13959,TRUE,FALSE,
CVE-2020-13956,https://security.snyk.io/search?type=any&q=CVE-2020-13956,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-13956,TRUE,FALSE,
CVE-2020-13954,https://security.snyk.io/search?type=any&q=CVE-2020-13954,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-13954,TRUE,FALSE,
CVE-2020-13936,https://security.snyk.io/search?type=any&q=CVE-2020-13936,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-13936,TRUE,FALSE,
CVE-2020-13933,https://security.snyk.io/search?type=any&q=CVE-2020-13933,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-13933,TRUE,FALSE,
CVE-2020-11988,https://security.snyk.io/search?type=any&q=CVE-2020-11988,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11988,TRUE,FALSE,
CVE-2020-11979,https://security.snyk.io/search?type=any&q=CVE-2020-11979,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11979,TRUE,FALSE,
CVE-2020-11620,https://security.snyk.io/search?type=any&q=CVE-2020-11620,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11620,TRUE,FALSE,
CVE-2020-11619,https://security.snyk.io/search?type=any&q=CVE-2020-11619,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11619,TRUE,FALSE,
CVE-2020-11612,https://security.snyk.io/search?type=any&q=CVE-2020-11612,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11612,TRUE,FALSE,
CVE-2020-11113,https://security.snyk.io/search?type=any&q=CVE-2020-11113,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11113,TRUE,FALSE,
CVE-2020-11112,https://security.snyk.io/search?type=any&q=CVE-2020-11112,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11112,TRUE,FALSE,
CVE-2020-11111,https://security.snyk.io/search?type=any&q=CVE-2020-11111,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11111,TRUE,FALSE,
